price.EUR,price.USD,price.GBP,price.INR,price.CAD,price.AUD
,,,,,
380.0,,,,,
,,,,,
,,,,,
330.0,,,,,
110.0,,,,,
130.0,,,,,
350.0,,,,,
220.0,,,,,
200.0,,,,,
180.0,,,,,
190.0,,,,,
150.0,,,,,
240.0,,,,,
170.0,,,,,
150.0,,,,,
170.0,,,,,
280.0,,,,,
120.0,,,,,
280.0,,,,,
210.0,,,,,
210.0,,,,,
40.0,,,,,
300.0,,,,,
30.0,,,,,
40.0,,,,,
140.0,,,,,
190.0,,,,,
230.0,,,,,
350.0,,,,,
90.0,,,,,
40.0,,,,,
130.0,,,,,
130.0,,,,,
440.0,,,,,
120.0,,,,,
60.0,,,,,
350.0,,,,,
120.0,,,,,
470.0,,,,,
170.0,,,,,
,,,,,
40.0,,,,,
190.0,,,,,
280.0,,,,,
50.0,,,,,
370.0,,,,,
100.0,,,,,
200.0,,,,,
140.0,,,,,
340.0,,,,,
140.0,,,,,
350.0,,,,,
250.0,,,,,
300.0,,,,,
400.0,,,,,
,,,,,
250.0,,,,,
230.0,,,,,
230.0,,,,,
150.0,,,,,
340.0,,,,,
300.0,,,,,
170.0,,,,,
180.0,,,,,
350.0,,,,,
210.0,,,,,
440.0,,,,,
210.0,,,,,
320.0,,,,,
40.0,,,,,
90.0,,,,,
180.0,,,,,
130.0,,,,,
270.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
160.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
330.0,,,,,
,,,,,
270.0,,,,,
250.0,,,,,
130.0,,,,,
100.0,,,,,
330.0,,,,,
460.0,,,,,
,237.31,,,,
300.0,,,,,
420.0,,,,,
,,,,,
180.0,,,,,
110.0,,,,,
180.0,,,,,
270.0,,,,,
130.0,,,,,
240.0,,,,,
,,,,,
240.0,,,,,
320.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
230.0,,,,,
,,,,,
,,,,,
,,,,,
419.99,275.19,369.99,,,
250.0,,,,,
,,,,,
230.0,,,,,
169.99,122.19,119.99,,,
299.99,219.99,269.0,,,
110.0,,,,,
500.0,,,,,
270.0,,,,,
300.0,,,,,
300.0,,,,,
,,,,,
170.0,,,,,
190.0,,,,,
270.0,,,,,
230.0,,,,,
370.0,,,,,
140.0,,,,,
60.0,,,,,
,,,,,
80.0,,,,,
70.0,,,,,
250.0,,,,,
170.0,,,,,
100.0,,,,,
80.0,,,,,
120.0,,,,,
130.0,,,,,
130.0,,,,,
150.0,,,,,
200.0,,,,,
340.0,,,,,
180.0,,,,,
380.0,,,,,
140.0,,,,,
220.0,,,,,
260.0,,,,,
120.0,,,,,
100.0,,,,,
350.0,,,,,
120.0,,,,,
260.0,,,,,
130.0,,,,,
180.0,,,,,
160.0,,,,,
180.0,,,,,
140.0,,,,,
170.0,,,,,
150.0,,,,,
120.0,,,,,
140.0,,,,,
150.0,,,,,
110.0,,,,,
160.0,,,,,
140.0,,,,,
190.0,,,,,
110.0,,,,,
110.0,,,,,
160.0,,,,,
240.0,,,,,
470.0,,,,,
350.0,,,,,
270.0,,,,,
280.0,,,,,
220.0,,,,,
200.0,,,,,
80.0,,,,,
80.0,,,,,
100.0,,,,,
280.0,,,,,
470.0,,,,,
150.0,,,,,
200.0,,,,,
170.0,,,,,
90.0,,,,,
280.0,,,,,
399.99,245.7,305.86,,,
120.0,,,,,
70.0,,,,,
130.0,,,,,
,,,,,
,,,,,
160.0,,,,,
499.99,387.99,420.33,,,
319.99,203.99,260.07,,,
320.0,,,,,
119.99,127.59,,,,
179.99,127.59,,,,
360.0,,,,,
190.0,,,,,
,,,,,
,,,,,
279.99,188.88,229.99,,,
,,,,,
220.0,,,,,
,,,,,
,,,,,
50.0,,,,,
,111.99,,,,
180.0,,,,,
,,,,,
,,,,,
270.0,,,,,
170.0,,,,,
270.0,,,,,
,,,,,
200.0,,,,,
40.0,,,,,
110.0,,,,,
220.0,,,,,
,,,,,
250.0,,,,,
200.0,,,,,
70.0,,,,,
240.0,,,,,
180.0,,,,,
150.0,,,,,
240.0,,,,,
500.0,,,,,
100.0,,,,,
80.0,,,,,
350.0,,,,,
130.0,,,,,
100.0,,,,,
110.0,,,,,
180.0,,,,,
240.0,,,,,
100.0,,,,,
190.0,,,,,
85.7,,69.99,,,
170.0,,,,,
250.0,,,,,
140.0,,,,,
200.0,,,,,
,,,,,
110.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
156.89,,129.0,,,
,,,,,
110.0,,,,,
231.82,,163.88,,,
,,,,,
450.0,,,,,
,,,,,
230.0,,,,,
300.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
70.0,,,,,
70.0,,,,,
,,,,,
130.0,,,,,
,,,,,
,,,,,
,,,,,
170.0,,,,,
,,,,,
110.0,,,,,
,,,,,
100.0,,,,,
,,,6404.0,,
,,,6999.0,,
,,,6999.0,,
,,,9999.0,,
,,,7699.0,,
,,,,,
,,,,,
110.0,,,,,
,,,6099.0,,
,,,,,
120.0,,,,,
210.0,,,,,
190.0,,,,,
150.0,,,,,
130.0,,,,,
120.0,,,,,
260.0,,,,,
480.0,,,,,
300.0,,,,,
140.0,,,,,
160.0,,,,,
,,,,,
220.0,,,,,
120.0,,,,,
100.0,,,,,
100.0,,,,,
250.0,,,,,
200.0,,,,,
240.0,,,,,
,,,,,
160.0,,,,,
170.0,,,,,
,,,,,
,,,,,
390.0,,,,,
230.0,,,,,
130.0,,,,,
110.0,,,,,
290.0,,,,,
160.0,,,,,
80.0,,,,,
220.0,,,,,
190.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
289.99,178.19,,,,
,,,,,
196.0,146.43,177.11,,,
490.0,,,,,
149.99,107.99,159.99,,249.99,
,,,,,
,,,,,
139.99,101.99,149.99,,,
559.99,436.42,,,,
,,,,,
,,,,,
,,,,,
,,,,,
259.99,206.99,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
160.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
599.99,352.9,,,,
,,,,,
200.0,,,,,
160.0,,,,,
280.0,,,,,
,,,,,
210.0,,,,,
130.0,,,,,
219.99,180.39,,,,
150.0,,,,,
170.0,,,,,
99.99,76.31,117.53,,,
40.0,,,,,
50.0,,,,,
,,,,,
96.99,80.99,109.81,,,
,,,,,
50.0,,,,,
290.0,,,,,
239.99,199.99,189.99,,,
79.99,79.99,,,,
,,,,,
90.0,,,,,
,131.39,,,,
,,,,,
,,,,,
229.99,169.99,,,,
,,,,,
,208.79,,,,
299.95,206.99,,,,
149.99,99.99,,,,
,499.99,,,,
,299.99,,,,
80.0,,,,,
100.0,,,,,
,,,,,
60.0,,,,,
90.0,,,,,
,,,,,
300.0,,,,,
,,,,,
,,,,,
90.0,,,,,
,,,,,
,,,,,
120.0,,,,,
60.0,,,,,
,,,,,
200.0,,,,,
150.0,,,,,
40.0,,,,,
20.0,,,,,
30.0,,,,,
30.0,,,,,
50.0,,,,,
30.0,,,,,
30.0,,,,,
20.0,,,,,
30.0,,,,,
30.0,,,,,
20.0,,,,,
30.0,,,,,
20.0,,,,,
30.0,,,,,
20.0,,,,,
20.0,,,,,
20.0,,,,,
40.0,,,,,
40.0,,,,,
40.0,,,,,
30.0,,,,,
30.0,,,,,
20.0,,,,,
60.0,,,,,
30.0,,,,,
40.0,,,,,
60.0,,,,,
30.0,,,,,
40.0,,,,,
40.0,,,,,
40.0,,,,,
50.0,,,,,
180.0,,,,,
40.0,,,,,
20.0,,,,,
30.0,,,,,
20.0,,,,,
50.0,,,,,
70.0,,,,,
10.0,,,,,
40.0,,,,,
50.0,,,,,
60.0,,,,,
50.0,,,,,
50.0,,,,,
30.0,,,,,
40.0,,,,,
100.0,,,,,
80.0,,,,,
270.0,,,,,
30.0,,,,,
60.0,,,,,
40.0,,,,,
70.0,,,,,
30.0,,,,,
30.0,,,,,
30.0,,,,,
60.0,,,,,
50.0,,,,,
120.0,,,,,
20.0,,,,,
40.0,,,,,
20.0,,,,,
40.0,,,,,
30.0,,,,,
70.0,,,,,
100.0,,,,,
90.0,,,,,
90.0,,,,,
70.0,,,,,
20.0,,,,,
20.0,,,,,
30.0,,,,,
20.0,,,,,
30.0,,,,,
60.0,,,,,
50.0,,,,,
30.0,,,,,
70.0,,,,,
20.0,,,,,
80.0,,,,,
70.0,,,,,
20.0,,,,,
40.0,,,,,
20.0,,,,,
30.0,,,,,
10.0,,,,,
50.0,,,,,
20.0,,,,,
190.0,,,,,
160.0,,,,,
170.0,,,,,
70.0,,,,,
90.0,,,,,
70.0,,,,,
90.0,,,,,
140.0,,,,,
150.0,,,,,
230.0,,,,,
50.0,,,,,
160.0,,,,,
90.0,,,,,
60.0,,,,,
70.0,,,,,
70.0,,,,,
120.0,,,,,
70.0,,,,,
100.0,,,,,
100.0,,,,,
130.0,,,,,
120.0,,,,,
90.0,,,,,
190.0,,,,,
,,,,,
10.0,,,,,
40.0,,,,,
30.0,,,,,
,,,,,
20.0,,,,,
20.0,,,,,
20.0,,,,,
20.0,,,,,
110.0,,,,,
180.0,,,,,
110.0,,,,,
230.0,,,,,
